jMRUI Data Textfile

Filename: /Users/Georg/Documents/MATLAB/osprey/exampledata/sdat/UnEdited/derivatives/jMRUIFiles/mrs_sub-01_ses-01_press-ref_sub-01_PRESS_35_ref_jMRUI_REF.TXT

PointsInDataset: 2048
DatasetsInFile: 1
SamplingInterval: 5.000000E-01
ZeroOrderPhase: 0E+00
BeginTime: 0E+00
TransmitterFrequency: 1.277509E+08
MagneticField: 3.000467E+00
TypeOfNucleus: 0E+00
NameOfPatient: No Name
DateOfExperiment: 
Spectrometer: TrioTim
AdditionalInfo: jnear


Signal and FFT
sig(real)	sig(imag)	fft(real)	fft(imag)
Signal 1 out of 1 in file
0.16240736	-0.02155032	0.71161047	5.55345550
0.15943201	-0.02121773	0.68888495	5.57954402
0.15757803	-0.02103251	0.69515109	5.57639225
0.15504338	-0.02075472	0.70043722	5.61556096
0.15353953	-0.02061335	0.66559012	5.63996655
0.15068323	-0.02028871	0.69027726	5.64684959
0.14994256	-0.02024753	0.68913453	5.67449554
0.14729645	-0.01994773	0.70452150	5.68999760
0.14674888	-0.01993089	0.69457976	5.71446210
0.14414883	-0.01963406	0.70259864	5.73921157
0.14268964	-0.01949105	0.71158883	5.78073183
0.14007279	-0.01918831	0.72006398	5.76274438
0.13768799	-0.01891542	0.71269898	5.79571144
0.13608826	-0.01874883	0.72800496	5.81679835
0.13487486	-0.01863437	0.74536741	5.84245142
0.13286300	-0.01840834	0.70043776	5.86545425
0.12973982	-0.01802633	0.74480797	5.88666762
0.12875678	-0.01794008	0.74858605	5.90800062
0.12664358	-0.01769515	0.75600800	5.92823750
0.12506660	-0.01752371	0.75598824	5.94944457
0.12409175	-0.01743564	0.75042172	5.93900204
0.12156859	-0.01712867	0.79038512	5.97852365
0.11983382	-0.01693112	0.75676825	5.97380974
0.11970883	-0.01696028	0.77106534	6.01633294
0.11637503	-0.01653348	0.75130079	5.99942291
0.11531492	-0.01642799	0.77357356	6.00560635
0.11367527	-0.01623888	0.76708720	6.05683105
0.11262308	-0.01613265	0.78208952	6.08308840
0.11030576	-0.01584387	0.78192721	6.07519755
0.10971643	-0.01580217	0.77847682	6.09926722
0.10796517	-0.01559221	0.75498986	6.11599913
0.10662420	-0.01544029	0.78726398	6.14168701
0.10534906	-0.01529689	0.78124848	6.16629528
0.10345612	-0.01506254	0.77766296	6.20059637
0.10230288	-0.01493471	0.77694906	6.22539257
0.10150203	-0.01485755	0.77032154	6.20421508
0.10176082	-0.01493529	0.78254994	6.27455162
0.09924390	-0.01460477	0.80706107	6.29439893
0.09745723	-0.01438003	0.82131669	6.28774382
0.09672294	-0.01430959	0.79420101	6.30180613
0.09577022	-0.01420617	0.79238570	6.31289669
0.09309507	-0.01384584	0.81610440	6.34209943
0.09266122	-0.01381764	0.78768746	6.35729661
0.09154796	-0.01368752	0.80681570	6.39027522
0.09016954	-0.01351678	0.84313729	6.38876350
0.08837464	-0.01328237	0.81678667	6.40975854
0.08744577	-0.01317706	0.81434947	6.41043434
0.08607738	-0.01300462	0.81950929	6.48444960
0.08491343	-0.01286208	0.82279330	6.50287796
0.08364204	-0.01270232	0.83247885	6.48708143
0.08388375	-0.01277194	0.83167298	6.51507947
0.08193890	-0.01250797	0.82039416	6.51984041
0.08175166	-0.01251147	0.80201646	6.53137925
0.08033417	-0.01232607	0.82975767	6.58102031
0.07936376	-0.01220833	0.84228668	6.57332844
0.07887534	-0.01216416	0.80087644	6.62144954
0.07695399	-0.01189807	0.85947852	6.64002268
0.07588682	-0.01176287	0.88053615	6.65351903
0.07624441	-0.01184824	0.84074322	6.68701157
0.07372788	-0.01148613	0.86005556	6.66293042
0.07388186	-0.01153915	0.85377031	6.71636775
0.07264500	-0.01137451	0.88478159	6.72156352
0.07031346	-0.01103707	0.88986440	6.71743036
0.07160061	-0.01126725	0.87162146	6.75164564
0.06975862	-0.01100481	0.83294729	6.77784054
0.06912863	-0.01093259	0.87693289	6.78682570
0.06776148	-0.01074302	0.89300505	6.82986048
0.06786229	-0.01078568	0.88139375	6.81834811
0.06752293	-0.01075830	0.88996118	6.87853581
0.06645803	-0.01061476	0.88945748	6.87798821
0.06483368	-0.01038082	0.86253271	6.88744902
0.06540562	-0.01049812	0.86082435	6.88307398
0.06336449	-0.01019543	0.88309826	6.94333792
0.06205266	-0.01000877	0.86923573	6.97729864
0.06101439	-0.00986531	0.87816959	6.96451928
0.06045930	-0.00979936	0.91183573	7.00439601
0.05894250	-0.00957671	0.91379814	7.03623898
0.05984018	-0.00974612	0.88931780	7.04325606
0.05845094	-0.00954286	0.88818735	7.04056000
0.05756026	-0.00942011	0.88341334	7.04987264
0.05779474	-0.00948125	0.87886234	7.09897109
0.05735175	-0.00943116	0.85984322	7.15029675
0.05627529	-0.00927631	0.85601357	7.15020927
0.05515599	-0.00911353	0.88585532	7.15358690
0.05487066	-0.00908801	0.86295709	7.18447221
0.05383873	-0.00893831	0.86267287	7.24270132
0.05359658	-0.00891923	0.87187237	7.25937228
0.05160908	-0.00860882	0.87684667	7.30371054
