Gx,Gy,Gz,RF
3.564092,0,0,-1.320536
3.564092,0,0,-1.320536
3.564092,0,0,-1.320536
3.564092,0,0,-1.434006
3.564092,0,0,-1.434006
3.564092,0,0,-1.434006
3.564092,0,0,-1.434006
3.564092,0,0,-1.472378
3.564092,0,0,-1.472378
3.564092,0,0,-1.472378
3.564092,0,0,-1.472378
3.564092,0,0,-1.435651
3.564092,0,0,-1.435651
3.564092,0,0,-1.435651
3.564092,0,0,-1.435651
3.564092,0,0,-1.319439
3.564092,0,0,-1.319439
3.564092,0,0,-1.319439
3.564092,0,0,-1.319439
3.564092,0,0,-1.130322
3.564092,0,0,-1.130322
3.564092,0,0,-1.130322
3.564092,0,0,-1.130322
3.564092,0,0,-1.130322
3.564092,0,0,-0.873231
3.564092,0,0,-0.873231
3.564092,0,0,-0.873231
3.564092,0,0,-0.873231
3.564092,0,0,-0.562968
3.564092,0,0,-0.562968
3.564092,0,0,-0.562968
3.564092,0,0,-0.562968
3.564092,0,0,-0.211045
3.564092,0,0,-0.211045
3.564092,0,0,-0.211045
3.564092,0,0,-0.211045
3.564092,0,0,0.161709
3.564092,0,0,0.161709
3.564092,0,0,0.161709
3.564092,0,0,0.161709
3.564092,0,0,0.539397
3.564092,0,0,0.539397
3.564092,0,0,0.539397
3.564092,0,0,0.539397
3.564092,0,0,0.539397
3.564092,0,0,0.898447
3.564092,0,0,0.898447
3.564092,0,0,0.898447
3.564092,0,0,0.898447
3.564092,0,0,1.222962
3.564092,0,0,1.222962
3.564092,0,0,1.222962
3.564092,0,0,1.222962
3.564092,0,0,1.490468
3.564092,0,0,1.490468
3.564092,0,0,1.490468
3.564092,0,0,1.490468
3.564092,0,0,1.688904
3.564092,0,0,1.688904
3.564092,0,0,1.688904
3.564092,0,0,1.688904
3.564092,0,0,1.802375
3.564092,0,0,1.802375
3.564092,0,0,1.802375
3.564092,0,0,1.802375
3.564092,0,0,1.825398
3.564092,0,0,1.825398
3.564092,0,0,1.825398
3.564092,0,0,1.825398
3.564092,0,0,1.825398
3.564092,0,0,1.750299
3.564092,0,0,1.750299
3.564092,0,0,1.750299
3.564092,0,0,1.750299
3.564092,0,0,1.58256
3.564092,0,0,1.58256
3.564092,0,0,1.58256
3.564092,0,0,1.58256
3.564092,0,0,1.324373
3.564092,0,0,1.324373
3.564092,0,0,1.324373
3.564092,0,0,1.324373
3.564092,0,0,0.990539
3.564092,0,0,0.990539
3.564092,0,0,0.990539
3.564092,0,0,0.990539
3.564092,0,0,0.592569
3.564092,0,0,0.592569
3.564092,0,0,0.592569
3.564092,0,0,0.592569
3.564092,0,0,0.592569
3.564092,0,0,0.154583
3.564092,0,0,0.154583
3.564092,0,0,0.154583
3.564092,0,0,0.154583
3.564092,0,0,-0.305878
3.564092,0,0,-0.305878
3.564092,0,0,-0.305878
3.564092,0,0,-0.305878
3.564092,0,0,-0.760857
